                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     38,                 1.0522,                 3.2742,                0.33322,                0.92853,                 1.2165,                0.85415,                0.80027,                  0.891,                0.66887,                0.81865,                0.70623,                0.76336,                0.45685,                0.89468,                 2.4152,                0.29953,                0.70341,                 1.0989,               0.006337,               0.006337,               0.006337
                     39,                 1.0521,                 3.2883,                0.33393,                0.92413,                 1.2152,                0.85562,                0.79954,                0.89143,                0.66945,                0.82083,                0.70734,                 0.7643,                0.45773,                0.89428,                 2.4086,                0.29915,                0.70267,                 1.0984,               0.006238,               0.006238,               0.006238
                     40,                 1.0512,                 3.2535,                0.33193,                0.92694,                 1.2164,                0.85801,                0.79691,                0.89127,                 0.6698,                0.82036,                0.70718,                0.76447,                0.45933,                0.89416,                 2.4033,                 0.2987,                0.70172,                 1.0982,               0.006139,               0.006139,               0.006139
                     41,                 1.0498,                 3.2503,                0.33187,                0.91983,                 1.2144,                0.86098,                0.79534,                0.89222,                0.67119,                0.82185,                0.70702,                0.76521,                0.46024,                0.89299,                 2.3973,                0.29821,                0.70056,                 1.0969,                0.00604,                0.00604,                0.00604
                     42,                 1.0482,                 3.2442,                0.33144,                 0.9169,                 1.2145,                 0.8562,                0.79959,                0.89248,                0.67154,                0.82554,                0.70547,                  0.766,                0.46088,                0.89186,                   2.39,                0.29791,                0.69923,                  1.096,               0.005941,               0.005941,               0.005941
                     43,                  1.047,                 3.2411,                0.33215,                0.91982,                 1.2137,                0.86113,                0.79761,                0.89282,                0.67164,                0.82722,                0.70246,                0.76533,                0.46125,                0.89094,                 2.3846,                0.29767,                0.69839,                 1.0954,               0.005842,               0.005842,               0.005842
                     44,                 1.0466,                 3.2309,                0.33105,                0.91554,                  1.212,                0.86084,                 0.7976,                0.89279,                0.67226,                0.83052,                0.70277,                0.76679,                0.46291,                 0.8902,                  2.378,                0.29739,                 0.6974,                 1.0949,               0.005743,               0.005743,               0.005743
                     45,                  1.043,                  3.225,                0.33033,                0.91469,                 1.2109,                 0.8607,                0.79644,                0.89217,                0.67258,                0.82919,                0.70309,                0.76532,                0.46286,                0.88915,                 2.3724,                0.29706,                0.69681,                 1.0939,               0.005644,               0.005644,               0.005644
                     46,                 1.0427,                 3.1907,                0.32941,                0.91536,                 1.2101,                0.85904,                0.79919,                0.89253,                  0.673,                0.82725,                0.70576,                0.76708,                0.46381,                0.88847,                 2.3666,                0.29669,                 0.6958,                 1.0931,               0.005545,               0.005545,               0.005545
                     47,                 1.0421,                 3.2054,                0.32915,                0.91148,                 1.2098,                0.86041,                0.79802,                0.89274,                0.67366,                0.82778,                0.70765,                0.76735,                0.46384,                0.88753,                 2.3624,                0.29624,                0.69467,                 1.0924,               0.005446,               0.005446,               0.005446
                     48,                 1.0401,                 3.1901,                0.32841,                0.90733,                 1.2066,                0.85965,                0.80038,                0.89307,                0.67388,                0.82791,                0.70816,                0.76772,                0.46468,                0.88662,                 2.3581,                0.29578,                0.69371,                 1.0917,               0.005347,               0.005347,               0.005347
                     49,                 1.0381,                  3.174,                0.32775,                0.90864,                 1.2086,                0.85586,                0.80337,                0.89336,                0.67429,                0.82516,                0.71107,                0.76823,                0.46566,                0.88574,                 2.3513,                0.29522,                0.69295,                 1.0911,               0.005248,               0.005248,               0.005248
                     50,                 1.0357,                 3.1651,                0.32737,                0.90666,                 1.2053,                0.85728,                0.80191,                0.89348,                0.67456,                0.82708,                0.71206,                0.77097,                0.46706,                0.88526,                 2.3466,                0.29472,                0.69223,                 1.0905,               0.005149,               0.005149,               0.005149
                     51,                 1.0367,                 3.1557,                0.32694,                0.90465,                 1.2059,                 0.8584,                0.80169,                0.89458,                0.67475,                0.82863,                0.71379,                0.77216,                0.46816,                0.88488,                  2.341,                0.29434,                 0.6922,                 1.0902,                0.00505,                0.00505,                0.00505
                     52,                 1.0324,                 3.1396,                0.32629,                0.90184,                 1.2037,                0.85683,                0.80305,                0.89473,                0.67543,                0.83148,                0.71227,                0.77155,                0.46816,                0.88493,                 2.3377,                0.29396,                0.69229,                 1.0904,               0.004951,               0.004951,               0.004951
                     53,                 1.0296,                 3.1328,                0.32546,                0.90053,                 1.2026,                0.85749,                0.80305,                0.89487,                0.67566,                0.83317,                0.71017,                 0.7713,                0.46857,                0.88416,                 2.3334,                0.29341,                0.69099,                 1.0897,               0.004852,               0.004852,               0.004852
                     54,                 1.0276,                 3.1373,                 0.3262,                0.89753,                 1.2022,                0.85868,                0.80132,                0.89499,                0.67625,                0.83129,                0.71132,                0.77238,                0.47006,                0.88358,                 2.3308,                0.29307,                0.69015,                 1.0893,               0.004753,               0.004753,               0.004753
                     55,                 1.0283,                 3.1235,                0.32507,                0.89561,                 1.2008,                0.86093,                0.80022,                0.89532,                0.67676,                0.82786,                0.71626,                0.77275,                 0.4706,                0.88262,                 2.3258,                0.29264,                0.68934,                 1.0886,               0.004654,               0.004654,               0.004654
                     56,                 1.0253,                 3.1059,                0.32376,                0.89108,                 1.1977,                0.85553,                0.80463,                0.89521,                0.67672,                0.82674,                0.71647,                0.77167,                0.47078,                0.88171,                 2.3204,                0.29213,                0.68876,                 1.0877,               0.004555,               0.004555,               0.004555
                     57,                 1.0234,                 3.1044,                0.32328,                0.89147,                 1.1982,                0.84964,                0.81061,                0.89547,                0.67731,                0.82609,                0.71899,                0.77328,                0.47179,                0.88112,                 2.3155,                0.29163,                 0.6876,                 1.0871,               0.004456,               0.004456,               0.004456
                     58,                 1.0242,                 3.0856,                0.32313,                 0.8903,                 1.1971,                0.85098,                 0.8109,                0.89543,                0.67769,                0.82969,                0.71708,                0.77362,                0.47209,                0.88037,                 2.3121,                0.29116,                0.68729,                 1.0863,               0.004357,               0.004357,               0.004357
                     59,                 1.0234,                 3.0883,                0.32247,                0.89278,                 1.1988,                0.85723,                0.80443,                0.89548,                0.67823,                0.83202,                0.71725,                0.77478,                0.47184,                0.87965,                 2.3103,                0.29089,                0.68671,                 1.0858,               0.004258,               0.004258,               0.004258
                     60,                 1.0196,                 3.0817,                0.32226,                0.88675,                 1.1954,                0.85562,                0.80605,                0.89592,                0.67854,                0.82946,                0.71851,                0.77564,                0.47257,                0.87904,                 2.3068,                0.29061,                0.68673,                 1.0852,               0.004159,               0.004159,               0.004159
                     61,                 1.0177,                 3.0584,                 0.3215,                0.88258,                 1.1939,                0.85317,                0.80866,                0.89595,                0.67859,                0.82666,                0.72025,                0.77498,                0.47344,                0.87879,                 2.3027,                0.29016,                0.68675,                 1.0851,                0.00406,                0.00406,                0.00406
                     62,                  1.018,                  3.062,                0.32122,                0.88161,                 1.1942,                0.85274,                0.80935,                 0.8961,                0.67865,                0.83124,                0.71882,                0.77561,                 0.4743,                0.87824,                  2.299,                0.28975,                0.68602,                 1.0847,               0.003961,               0.003961,               0.003961
                     63,                 1.0157,                 3.0382,                0.32048,                0.87884,                 1.1938,                0.85381,                0.80967,                0.89658,                0.67886,                0.83229,                0.71644,                0.77554,                0.47514,                0.87753,                 2.2955,                0.28939,                0.68524,                  1.084,               0.003862,               0.003862,               0.003862
                     64,                 1.0154,                  3.025,                0.31994,                0.87902,                 1.1936,                0.85748,                0.80479,                0.89696,                0.67914,                 0.8318,                0.71615,                0.77493,                0.47573,                0.87701,                 2.2921,                0.28905,                0.68419,                 1.0836,               0.003763,               0.003763,               0.003763
                     65,                 1.0147,                 3.0283,                0.31987,                0.87704,                 1.1922,                0.85823,                 0.8051,                0.89727,                 0.6792,                0.83118,                0.71883,                0.77608,                0.47678,                0.87644,                 2.2903,                0.28858,                 0.6835,                 1.0834,               0.003664,               0.003664,               0.003664
                     66,                 1.0131,                 3.0149,                0.31838,                0.87728,                 1.1901,                0.85419,                0.81061,                0.89693,                0.68011,                0.82742,                0.71977,                0.77547,                0.47746,                0.87602,                 2.2869,                0.28813,                 0.6827,                 1.0828,               0.003565,               0.003565,               0.003565
                     67,                 1.0079,                 3.0162,                0.31818,                0.87421,                 1.1897,                0.85374,                0.81144,                0.89742,                0.68047,                0.82434,                0.72088,                0.77553,                0.47781,                0.87536,                 2.2853,                0.28773,                0.68192,                 1.0823,               0.003466,               0.003466,               0.003466
                     68,                 1.0068,                 2.9819,                0.31669,                0.87093,                 1.1873,                0.85661,                0.80979,                0.89672,                0.68077,                0.82774,                0.71962,                0.77516,                0.47861,                 0.8743,                 2.2833,                0.28741,                0.68117,                 1.0813,               0.003367,               0.003367,               0.003367
                     69,                 1.0068,                 2.9834,                0.31685,                0.87061,                 1.1884,                0.85876,                0.80692,                0.89692,                0.68112,                0.83091,                0.71741,                0.77414,                0.47967,                 0.8739,                 2.2808,                0.28699,                0.68084,                 1.0811,               0.003268,               0.003268,               0.003268
                     70,                 1.0007,                 2.9574,                0.31636,                0.86417,                 1.1847,                0.85819,                0.80597,                0.89712,                0.68124,                0.82885,                0.72025,                0.77522,                0.48051,                0.87338,                 2.2762,                0.28665,                0.68021,                 1.0808,               0.003169,               0.003169,               0.003169
                     71,                      1,                 2.9592,                0.31544,                0.86139,                 1.1832,                0.85837,                0.80652,                0.89737,                0.68137,                0.82438,                0.72245,                0.77468,                0.48025,                0.87262,                 2.2713,                0.28615,                0.68009,                 1.0801,                0.00307,                0.00307,                0.00307
                     72,                0.99884,                 2.9378,                0.31531,                0.85646,                 1.1829,                0.85811,                0.80557,                0.89794,                0.68183,                 0.8287,                0.71974,                0.77465,                 0.4817,                0.87202,                  2.267,                 0.2857,                0.67965,                 1.0798,               0.002971,               0.002971,               0.002971
                     73,                      1,                 2.9369,                0.31529,                0.86033,                  1.183,                0.85486,                0.80998,                0.89808,                0.68195,                 0.8263,                0.72103,                0.77539,                0.48214,                0.87154,                 2.2641,                0.28535,                0.67901,                 1.0793,               0.002872,               0.002872,               0.002872
                     74,                0.99272,                 2.9066,                0.31299,                0.85056,                 1.1796,                0.86178,                0.80488,                0.89841,                0.68256,                0.82854,                0.72025,                0.77593,                0.48301,                0.87074,                 2.2603,                0.28491,                0.67811,                 1.0785,               0.002773,               0.002773,               0.002773
                     75,                0.99259,                 2.9045,                0.31264,                0.85163,                  1.179,                0.85627,                 0.8122,                0.89883,                0.68317,                0.82824,                0.72103,                0.77697,                0.48394,                0.86985,                 2.2574,                0.28448,                0.67722,                 1.0777,               0.002674,               0.002674,               0.002674
                     76,                0.99179,                 2.8949,                0.31225,                 0.8507,                 1.1785,                0.85883,                0.81024,                0.89895,                0.68362,                0.82841,                0.72135,                0.77718,                0.48437,                0.86935,                 2.2549,                0.28402,                0.67669,                 1.0771,               0.002575,               0.002575,               0.002575
                     77,                0.98846,                 2.8881,                0.31172,                0.85097,                 1.1757,                0.85444,                0.81376,                0.89862,                 0.6842,                0.82471,                 0.7245,                 0.7774,                0.48448,                0.86881,                  2.251,                 0.2836,                0.67618,                 1.0767,               0.002476,               0.002476,               0.002476
                     78,                0.98692,                 2.8668,                0.31053,                0.84523,                  1.175,                0.85852,                0.81297,                0.89879,                0.68428,                0.82612,                0.72339,                0.77743,                0.48503,                0.86845,                 2.2475,                0.28318,                0.67485,                 1.0761,               0.002377,               0.002377,               0.002377
                     79,                0.98209,                 2.8253,                0.30969,                0.83815,                 1.1728,                0.86014,                0.81203,                 0.8989,                0.68452,                0.82788,                0.72276,                 0.7788,                0.48598,                0.86776,                 2.2473,                 0.2828,                0.67375,                 1.0753,               0.002278,               0.002278,               0.002278
                     80,                0.98265,                 2.8374,                0.30916,                0.83954,                 1.1726,                0.85973,                 0.8125,                0.89921,                0.68478,                0.82871,                0.72497,                0.78069,                0.48691,                 0.8674,                 2.2441,                0.28239,                0.67338,                  1.075,               0.002179,               0.002179,               0.002179
                     81,                0.97983,                 2.8319,                0.30859,                0.83531,                 1.1714,                0.86529,                0.80919,                0.89946,                0.68511,                0.83007,                0.72365,                0.77985,                0.48744,                0.86699,                 2.2411,                0.28191,                0.67323,                 1.0746,                0.00208,                0.00208,                0.00208
                     82,                0.97767,                 2.8083,                0.30786,                0.83558,                  1.171,                0.86411,                 0.8103,                0.89928,                0.68533,                0.83023,                0.72367,                0.78082,                0.48827,                0.86662,                 2.2371,                0.28152,                0.67309,                 1.0744,               0.001981,               0.001981,               0.001981
                     83,                0.97334,                 2.7835,                0.30648,                0.82906,                 1.1698,                0.86373,                0.80926,                0.89929,                0.68554,                0.82712,                0.72833,                0.78174,                0.48897,                0.86587,                 2.2324,                0.28106,                0.67275,                 1.0739,               0.001882,               0.001882,               0.001882
                     84,                0.97302,                 2.7753,                0.30648,                0.82602,                 1.1666,                0.86576,                0.80718,                0.89963,                0.68581,                0.82684,                0.72717,                0.78119,                0.49032,                0.86536,                 2.2285,                 0.2806,                0.67251,                 1.0736,               0.001783,               0.001783,               0.001783
                     85,                0.97056,                 2.7789,                0.30588,                 0.8266,                 1.1655,                0.86205,                0.81259,                0.89992,                0.68601,                0.82842,                0.72742,                0.78218,                0.49059,                0.86442,                 2.2243,                0.28023,                0.67204,                 1.0727,               0.001684,               0.001684,               0.001684
                     86,                0.96505,                 2.7459,                0.30473,                0.82039,                 1.1627,                0.86066,                0.81291,                0.90011,                0.68637,                0.83062,                 0.7288,                0.78371,                0.49065,                0.86381,                 2.2188,                0.27982,                0.67141,                 1.0722,               0.001585,               0.001585,               0.001585
                     87,                0.96459,                 2.7268,                0.30324,                0.81894,                 1.1635,                0.86258,                0.81171,                0.90057,                0.68687,                0.82754,                0.73048,                0.78406,                0.49105,                0.86348,                 2.2148,                0.27942,                0.67074,                 1.0718,               0.001486,               0.001486,               0.001486
                     88,                0.96458,                 2.7108,                0.30312,                0.81477,                 1.1625,                0.86394,                0.81172,                0.90078,                0.68673,                 0.8292,                0.73221,                0.78513,                0.49229,                0.86301,                 2.2117,                0.27905,                   0.67,                 1.0712,               0.001387,               0.001387,               0.001387
                     89,                0.95949,                 2.6927,                0.30225,                0.81215,                 1.1586,                0.86386,                0.81316,                0.90073,                  0.687,                0.83066,                0.73237,                0.78589,                0.49346,                0.86233,                 2.2066,                0.27861,                0.66903,                 1.0705,               0.001288,               0.001288,               0.001288
                     90,                0.90357,                 2.3813,                0.28626,                0.70959,                 1.1232,                0.86496,                 0.8136,                0.90121,                0.68841,                0.83186,                0.73216,                 0.7872,                0.49447,                0.86107,                 2.2031,                0.27797,                0.66812,                 1.0694,               0.001189,               0.001189,               0.001189
                     91,                0.89567,                 2.3371,                0.28354,                0.69931,                  1.119,                0.86523,                0.81564,                0.90186,                0.68897,                0.83143,                0.73095,                0.78674,                0.49495,                0.86049,                 2.1984,                0.27712,                0.66653,                 1.0688,                0.00109,                0.00109,                0.00109
                     92,                0.89111,                  2.322,                0.28259,                0.69314,                 1.1161,                0.86364,                0.81765,                0.90269,                0.68964,                0.83428,                0.72953,                0.78695,                0.49567,                0.85932,                 2.1935,                0.27645,                0.66507,                 1.0681,               0.000991,               0.000991,               0.000991
                     93,                0.88506,                  2.288,                0.28094,                0.68643,                 1.1124,                0.86584,                0.81722,                0.90313,                0.69007,                0.83431,                0.72906,                0.78731,                0.49633,                0.85821,                 2.1891,                0.27576,                0.66372,                 1.0674,               0.000892,               0.000892,               0.000892
